Year,Population,Country
1960,667070000,China
1960,450547679,India
1960,87751068,Indonesia
1960,44988690,Pakistan
1960,180671000,United States
1961,660330000,China
1961,459642165,India
1961,90098394,Indonesia
1961,46065231,Pakistan
1961,183691000,United States
1962,665770000,China
1962,469077190,India
1962,92518377,Indonesia
1962,47198878,Pakistan
1962,186538000,United States
1963,682335000,China
1963,478825608,India
1963,95015297,Indonesia
1963,48387301,Pakistan
1963,189242000,United States
1964,698355000,China
1964,488848135,India
1964,97596733,Indonesia
1964,49627623,Pakistan
1964,191889000,United States
1965,715185000,China
1965,499123324,India
1965,100267062,Indonesia
1965,50917975,Pakistan
1965,194303000,United States
1966,735400000,China
1966,509631500,India
1966,103025426,Indonesia
1966,52260189,Pakistan
1966,196560000,United States
1967,754550000,China
1967,520400576,India
1967,105865571,Indonesia
1967,53655789,Pakistan
1967,198712000,United States
1968,774510000,China
1968,531513824,India
1968,108779924,Indonesia
1968,55102684,Pakistan
1968,200706000,United States
1969,796025000,China
1969,543084336,India
1969,111758563,Indonesia
1969,56598144,Pakistan
1969,202677000,United States
1970,818315000,China
1970,555189792,India
1970,114793178,Indonesia
1970,58142060,Pakistan
1970,205052000,United States
1971,841105000,China
1971,567868018,India
1971,117880144,Indonesia
1971,59734481,Pakistan
1971,207661000,United States
1972,862030000,China
1972,581087256,India
1972,121017314,Indonesia
1972,61381987,Pakistan
1972,209896000,United States
1973,881940000,China
1973,594770134,India
1973,124199687,Indonesia
1973,63099406,Pakistan
1973,211909000,United States
1974,900350000,China
1974,608802600,India
1974,127422211,Indonesia
1974,64905998,Pakistan
1974,213854000,United States
1975,916395000,China
1975,623102897,India
1975,130680727,Indonesia
1975,66816877,Pakistan
1975,215973000,United States
1976,930685000,China
1976,637630087,India
1976,133966941,Indonesia
1976,68834326,Pakistan
1976,218035000,United States
1977,943455000,China
1977,652408776,India
1977,137278058,Indonesia
1977,70958169,Pakistan
1977,220239000,United States
1978,956165000,China
1978,667499806,India
1978,140621730,Indonesia
1978,73197258,Pakistan
1978,222585000,United States
1979,969005000,China
1979,682995354,India
1979,144009845,Indonesia
1979,75561131,Pakistan
1979,225055000,United States
1980,981235000,China
1980,698952844,India
1980,147447836,Indonesia
1980,78054343,Pakistan
1980,227225000,United States
1981,993885000,China
1981,715384993,India
1981,150938232,Indonesia
1981,80680459,Pakistan
1981,229466000,United States
1982,1008630000,China
1982,732239504,India
1982,154468229,Indonesia
1982,83431605,Pakistan
1982,231664000,United States
1983,1023310000,China
1983,749428958,India
1983,158009246,Indonesia
1983,86285935,Pakistan
1983,233792000,United States
1984,1036825000,China
1984,766833410,India
1984,161523347,Indonesia
1984,89213706,Pakistan
1984,235825000,United States
1985,1051040000,China
1985,784360008,India
1985,164982451,Indonesia
1985,92191510,Pakistan
1985,237924000,United States
1986,1066790000,China
1986,801975244,India
1986,168374287,Indonesia
1986,95215378,Pakistan
1986,240133000,United States
1987,1084035000,China
1987,819682102,India
1987,171702763,Indonesia
1987,98285755,Pakistan
1987,242289000,United States
1988,1101630000,China
1988,837468930,India
1988,174975954,Indonesia
1988,101389603,Pakistan
1988,244499000,United States
1989,1118650000,China
1989,855334678,India
1989,178209150,Indonesia
1989,104512881,Pakistan
1989,246819000,United States
1990,1135185000,China
1990,873277798,India
1990,181413402,Indonesia
1990,107647921,Pakistan
1990,249623000,United States
1991,1150780000,China
1991,891273209,India
1991,184591903,Indonesia
1991,110778648,Pakistan
1991,252981000,United States
1992,1164970000,China
1992,909307016,India
1992,187739786,Indonesia
1992,113911126,Pakistan
1992,256514000,United States
1993,1178440000,China
1993,927403860,India
1993,190851175,Indonesia
1993,117086685,Pakistan
1993,259919000,United States
1994,1191835000,China
1994,945601831,India
1994,193917462,Indonesia
1994,120362762,Pakistan
1994,263126000,United States
1995,1204855000,China
1995,963922588,India
1995,196934260,Indonesia
1995,123776839,Pakistan
1995,266278000,United States
1996,1217550000,China
1996,982365243,India
1996,199901228,Indonesia
1996,127349290,Pakistan
1996,269394000,United States
1997,1230075000,China
1997,1000900030,India
1997,202826446,Indonesia
1997,131057431,Pakistan
1997,272657000,United States
1998,1241935000,China
1998,1019483581,India
1998,205724592,Indonesia
1998,134843233,Pakistan
1998,275854000,United States
1999,1252735000,China
1999,1038058156,India
1999,208615169,Indonesia
1999,138624621,Pakistan
1999,279040000,United States
2000,1262645000,China
2000,1056575549,India
2000,211513823,Indonesia
2000,142343578,Pakistan
2000,282162411,United States
2001,1271850000,China
2001,1075000085,India
2001,214427417,Indonesia
2001,145978402,Pakistan
2001,284968955,United States
2002,1280400000,China
2002,1093317189,India
2002,217357793,Indonesia
2002,149549700,Pakistan
2002,287625193,United States
2003,1288400000,China
2003,1111523144,India
2003,220309469,Indonesia
2003,153093373,Pakistan
2003,290107933,United States
2004,1296075000,China
2004,1129623456,India
2004,223285676,Indonesia
2004,156664697,Pakistan
2004,292805298,United States
2005,1303720000,China
2005,1147609927,India
2005,226289470,Indonesia
2005,160304008,Pakistan
2005,295516599,United States
2006,1311020000,China
2006,1165486291,India
2006,229318262,Indonesia
2006,164022627,Pakistan
2006,298379912,United States
2007,1317885000,China
2007,1183209472,India
2007,232374245,Indonesia
2007,167808105,Pakistan
2007,301231207,United States
2008,1324655000,China
2008,1200669765,India
2008,235469762,Indonesia
2008,171648986,Pakistan
2008,304093966,United States
2009,1331260000,China
2009,1217726215,India
2009,238620563,Indonesia
2009,175525609,Pakistan
2009,306771529,United States
2010,1337705000,China
2010,1234281170,India
2010,241834215,Indonesia
2010,179424641,Pakistan
2010,309326085,United States
2011,1344130000,China
2011,1250288729,India
2011,245116206,Indonesia
2011,183340592,Pakistan
2011,311580009,United States
2012,1350695000,China
2012,1265782790,India
2012,248452413,Indonesia
2012,187281475,Pakistan
2012,313874218,United States
2013,1357380000,China
2013,1280846129,India
2013,251806402,Indonesia
2013,191262919,Pakistan
2013,316057727,United States
2014,1364270000,China
2014,1295604184,India
2014,255129004,Indonesia
2014,195306825,Pakistan
2014,318386421,United States
2015,1371220000,China
2015,1310152403,India
2015,258383256,Indonesia
2015,199426964,Pakistan
2015,320742673,United States
2016,1378665000,China
2016,1324509589,India
2016,261554226,Indonesia
2016,203627284,Pakistan
2016,323071342,United States
2017,1386395000,China
2017,1338658835,India
2017,264645886,Indonesia
2017,207896686,Pakistan
2017,325147121,United States
2018,1392730000,China
2018,1352617328,India
2018,267663435,Indonesia
2018,212215030,Pakistan
2018,327167434,United States
2019,1397715000,China
2019,1366417754,India
2019,270625568,Indonesia
2019,216565318,Pakistan
2019,328239523,United States
